id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l
vidma,Darja Vidmanova,Darja,Vidmanova,92,2,0.64,0.91,0.40,0.48,0.39,0.10,CZE,23,30,11,7,3
kraus,Sinja Kraus,Sinja,Kraus,93,2,0.56,0.89,0.38,0.51,0.39,0.06,AUT,24,16,11,6,4
tomlj,Ajla Tomljanovic,Ajla,Tomljanovic,94,2,0.67,0.75,0.37,0.48,0.40,0.05,AUS,33,8,6,6,4
timof,Maria Timofeeva,Maria,Timofeeva,95,2,0.64,0.86,0.41,0.50,0.37,0.04,UZB,22,9,9,6,4
maria,Tatjana Maria,Tatjana,Maria,96,2,0.58,0.91,0.37,0.45,0.36,0.11,GER,39,6,15,5,5
arang,Emiliana Arango,Emiliana,Arango,97,2,0.66,0.86,0.39,0.46,0.37,0.02,COL,25,5,11,5,5
korne,Alina Korneeva,Alina,Korneeva,98,2,0.61,0.81,0.44,0.52,0.41,0.07,RUS,19,28,7,8,2
tarar,Lanlana Tararudee,Lanlana,Tararudee,99,2,0.56,0.88,0.40,0.52,0.40,0.10,THA,22,39,13,6,4
seide,Ella Seidel,Ella,Seidel,100,2,0.57,0.84,0.35,0.46,0.39,0.07,GER,21,9,17,2,8
volyn,Katie Volynets,Katie,Volynets,101,2,0.77,0.92,0.40,0.50,0.35,0.02,USA,24,17,12,6,4
volyn1,Katie Volynets,Katie,Volynets,101,2,0.77,0.92,0.40,0.50,0.35,0.02,USA,24,17,12,6,4
krueg,Ashlyn Krueger,Ashlyn,Krueger,102,2,0.64,0.79,0.35,0.45,0.41,0.10,USA,22,9,12,5,5
vande,Hanne Vandewinkel,Hanne,Vandewinkel,103,2,0.62,0.82,0.41,0.50,0.42,0.09,BEL,22,37,8,9,1
semen,Darja Semenistaja,Darja,Semenistaja,104,2,0.63,0.94,0.40,0.49,0.35,0.04,LAT,23,8,10,2,8
kenin,Sofia Kenin,Sofia,Kenin,105,2,0.66,0.82,0.30,0.47,0.40,0.03,USA,27,3,11,3,7
jones,Francesca Jones,Francesca,Jones,106,2,0.67,0.86,0.35,0.46,0.40,0.04,GBR,25,6,5,9,1
queve,Kaitlin Quevedo,Kaitlin,Quevedo,107,2,0.63,0.91,0.39,0.49,0.39,0.05,ESP,20,8,6,5,5
uchij,Moyuka Uchijima,Moyuka,Uchijima,108,2,0.57,0.86,0.37,0.45,0.38,0.07,JPN,25,13,12,4,6
sheri,Mayar Sherif,Mayar,Sherif,109,2,0.73,0.89,0.30,0.46,0.34,0.03,EGY,30,1,4,8,2
kasin,Victoria Jimenez Kasintseva,Victoria,Jimenez Kasintseva,110,2,0.65,0.81,0.40,0.47,0.38,0.03,AND,21,9,11,2,8
galfi,Dalma Galfi,Dalma,Galfi,111,2,0.64,0.88,0.33,0.47,0.37,0.11,HUN,28,6,11,1,9
sun,Lulu Sun,Lulu,Sun,112,2,0.57,0.88,0.34,0.44,0.42,0.15,NZL,25,4,7,4,6
kuder,Polina Kudermetova,Polina,Kudermetova,113,2,0.55,0.82,0.37,0.46,0.40,0.09,UZB,23,12,9,5,5
blink,Anna Blinkova,Anna,Blinkova,114,2,0.60,0.85,0.39,0.48,0.36,0.05,RUS,27,8,13,6,4
kuder1,Veronika Kudermetova,Veronika,Kudermetova,115,2,0.58,0.91,0.35,0.47,0.39,0.12,RUS,29,0,0,4,6
grabh,Julia Grabher,Julia,Grabher,116,2,0.57,0.84,0.32,0.43,0.38,0.06,AUT,30,5,8,6,4
prest,Taylah Preston,Taylah,Preston,117,2,0.64,0.85,0.42,0.51,0.39,0.03,AUS,20,31,15,7,3
chara,Alina Charaeva,Alina,Charaeva,118,2,0.61,0.85,0.39,0.48,0.39,0.07,ARM,24,10,7,5,5
kawa,Katarzyna Kawa,Katarzyna,Kawa,119,2,0.52,0.86,0.37,0.49,0.35,0.06,POL,33,1,8,2,8
