id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l
sabal,Aryna Sabalenka,Aryna,Sabalenka,1,2,0.64,0.89,0.38,0.51,0.43,0.08,BLR,28,8,3,6,4
rybak,Elena Rybakina,Elena,Rybakina,2,2,0.58,0.92,0.37,0.48,0.44,0.13,KAZ,27,10,3,8,2
swiat,Iga Swiatek,Iga,Swiatek,3,2,0.63,0.89,0.41,0.57,0.45,0.04,POL,25,9,4,9,1
pegul,Jessica Pegula,Jessica,Pegula,4,2,0.61,0.93,0.41,0.48,0.42,0.06,USA,32,9,3,7,3
andre,Mirra Andreeva,Mirra,Andreeva,5,2,0.63,0.88,0.42,0.54,0.43,0.05,RUS,19,22,3,6,4
anisi,Amanda Anisimova,Amanda,Anisimova,6,2,0.63,0.82,0.41,0.52,0.43,0.07,USA,24,2,1,6,4
gauff,Cori Gauff,Cori,Gauff,7,2,0.63,0.81,0.46,0.54,0.42,0.05,USA,22,10,4,8,2
svito,Elina Svitolina,Elina,Svitolina,8,2,0.63,0.95,0.40,0.54,0.40,0.06,UKR,31,13,3,8,2
mucho,Karolina Muchova,Karolina,Muchova,9,2,0.65,0.92,0.38,0.47,0.39,0.07,CZE,30,6,3,9,1
mboko,Victoria Mboko,Victoria,Mboko,10,2,0.63,0.82,0.42,0.49,0.42,0.06,CAN,19,5,3,5,5
benci,Belinda Bencic,Belinda,Bencic,11,2,0.65,0.86,0.36,0.51,0.42,0.05,SUI,29,8,4,8,2
nosko,Linda Noskova,Linda,Noskova,12,2,0.59,0.82,0.34,0.48,0.42,0.12,CZE,21,6,4,7,3
kosty,Marta Kostyuk,Marta,Kostyuk,13,2,0.60,0.87,0.43,0.54,0.41,0.06,UKR,24,17,1,7,3
osaka,Naomi Osaka,Naomi,Osaka,14,2,0.57,0.89,0.37,0.46,0.42,0.12,JPN,28,7,3,7,3
shnai,Diana Shnaider,Diana,Shnaider,15,2,0.65,0.89,0.42,0.51,0.41,0.02,RUS,22,10,5,6,4
jovic,Iva Jovic,Iva,Jovic,16,2,0.61,0.91,0.41,0.51,0.41,0.04,USA,18,8,7,6,4
paoli,Jasmine Paolini,Jasmine,Paolini,17,2,0.69,0.92,0.42,0.49,0.39,0.02,ITA,30,4,4,6,4
cirst,Sorana Cirstea,Sorana,Cirstea,18,2,0.60,0.94,0.40,0.51,0.42,0.07,ROU,36,14,4,5,5
alexa,Ekaterina Alexandrova,Ekaterina,Alexandrova,19,2,0.57,0.83,0.38,0.48,0.41,0.10,RUS,31,1,5,5,5
kalin,Anna Kalinskaya,Anna,Kalinskaya,20,2,0.65,0.84,0.40,0.50,0.39,0.03,RUS,27,8,4,6,4
chwal,Maja Chwalinska,Maja,Chwalinska,21,2,0.71,0.90,0.46,0.54,0.40,0.01,POL,24,19,6,6,4
keys,Madison Keys,Madison,Keys,22,2,0.66,0.91,0.41,0.50,0.42,0.07,USA,31,11,4,4,6
bouzk,Marie Bouzkova,Marie,Bouzkova,23,2,0.66,0.85,0.40,0.52,0.42,0.04,CZE,28,9,4,6,4
ferna,Leylah Annie Fernandez,Leylah,Annie Fernandez,24,2,0.62,0.82,0.36,0.48,0.43,0.04,CAN,23,8,7,4,6
tauso,Clara Tauson,Clara,Tauson,25,2,0.59,0.88,0.37,0.48,0.39,0.06,DEN,23,0,3,5,5
navar,Emma Navarro,Emma,Navarro,26,2,0.58,0.89,0.43,0.51,0.41,0.04,USA,25,7,3,5,5
merte,Elise Mertens,Elise,Mertens,27,2,0.59,0.85,0.39,0.49,0.42,0.09,BEL,30,6,4,5,5
potap,Anastasia Potapova,Anastasia,Potapova,28,2,0.56,0.87,0.42,0.52,0.41,0.07,AUT,25,17,5,3,7
li,Ann Li,Ann,Li,29,2,0.60,0.92,0.39,0.46,0.38,0.08,USA,26,9,6,5,5
bapti,Hailey Baptiste,Hailey,Baptiste,30,2,0.56,0.87,0.37,0.44,0.44,0.11,USA,24,7,5,6,4
ostap,Jelena Ostapenko,Jelena,Ostapenko,31,2,0.58,0.80,0.39,0.51,0.41,0.09,LAT,29,7,5,5,5
eala,Alexandra Eala,Alexandra,Eala,32,2,0.65,0.89,0.38,0.47,0.36,0.02,PHI,21,4,6,7,3
raduc,Emma Raducanu,Emma,Raducanu,33,2,0.63,0.88,0.39,0.47,0.37,0.06,GBR,23,0,2,5,5
vekic,Donna Vekic,Donna,Vekic,34,2,0.59,0.85,0.37,0.49,0.43,0.07,CRO,30,12,5,5,5
bucsa,Cristina Bucsa,Cristina,Bucsa,35,2,0.65,0.86,0.40,0.47,0.37,0.02,ESP,28,0,4,1,9
sinia,Katerina Siniakova,Katerina,Siniakova,36,2,0.61,0.83,0.42,0.46,0.41,0.03,CZE,30,4,4,4,6
crist,Jaqueline Cristian,Jaqueline,Cristian,37,2,0.60,0.89,0.40,0.47,0.40,0.06,ROU,28,5,6,4,6
krejc,Barbora Krejcikova,Barbora,Krejcikova,38,2,0.63,0.84,0.36,0.46,0.44,0.06,CZE,30,5,3,6,4
wang,Xinyu Wang,Xinyu,Wang,39,2,0.71,0.88,0.44,0.54,0.40,0.02,CHN,25,18,4,6,4
siege,Laura Siegemund,Laura,Siegemund,40,2,0.73,0.86,0.40,0.47,0.39,0.01,GER,38,4,4,4,6
samso,Liudmila Samsonova,Liudmila,Samsonova,41,2,0.61,0.89,0.37,0.48,0.42,0.06,RUS,27,3,5,7,3
tjen,Janice Tjen,Janice,Tjen,42,2,0.63,0.85,0.38,0.54,0.39,0.06,INA,24,2,5,5,5
sakka,Maria Sakkari,Maria,Sakkari,43,2,0.61,0.88,0.37,0.46,0.42,0.07,GRE,31,3,5,6,4
frech,Magdalena Frech,Magdalena,Frech,44,2,0.62,0.94,0.38,0.46,0.37,0.04,POL,28,2,5,5,5
bejle,Sara Bejlek,Sara,Bejlek,45,2,0.72,0.87,0.46,0.52,0.39,0.01,CZE,20,2,5,7,3
cocci,Elisabetta Cocciaretto,Elisabetta,Cocciaretto,46,2,0.67,0.87,0.39,0.49,0.40,0.02,ITA,25,5,5,3,7
marci,Petra Marcinko,Petra,Marcinko,47,2,0.59,0.85,0.44,0.51,0.39,0.04,CRO,20,14,9,4,6
bartu,Nikola Bartunkova,Nikola,Bartunkova,48,2,0.52,0.78,0.42,0.49,0.45,0.06,CZE,20,5,5,6,4
parry,Diane Parry,Diane,Parry,49,2,0.62,0.90,0.36,0.47,0.40,0.05,FRA,23,8,6,5,5
mcnal,Caty McNally,Caty,McNally,50,2,0.69,0.83,0.44,0.54,0.38,0.01,USA,24,6,5,6,4
sonme,Zeynep Sonmez,Zeynep,Sonmez,51,2,0.64,0.90,0.43,0.49,0.38,0.01,TUR,24,6,4,5,5
manei,Jessica Bouzas Maneiro,Jessica,Bouzas Maneiro,52,2,0.66,0.84,0.44,0.53,0.39,0.02,ESP,23,7,7,5,5
oliyn,Oleksandra Oliynykova,Oleksandra,Oliynykova,53,2,0.74,0.88,0.46,0.51,0.38,0.01,UKR,25,19,10,7,3
valen,Tereza Valentova,Tereza,Valentova,54,2,0.63,0.87,0.44,0.55,0.40,0.03,CZE,19,5,4,5,5
staro,Yuliia Starodubtseva,Yuliia,Starodubtseva,55,2,0.65,0.91,0.43,0.48,0.39,0.02,UKR,26,13,7,2,8
sierr,Solana Sierra,Solana,Sierra,56,2,0.65,0.81,0.44,0.53,0.41,0.03,ARG,22,9,5,3,7
kessl,Mccartney Kessler,Mccartney,Kessler,57,2,0.63,0.88,0.41,0.49,0.36,0.03,USA,27,7,6,3,7
gibso,Talia Gibson,Talia,Gibson,58,2,0.61,0.82,0.36,0.46,0.36,0.09,AUS,22,3,6,3,7
linet,Magda Linette,Magda,Linette,59,2,0.59,0.94,0.36,0.46,0.39,0.07,POL,34,3,4,4,6
boult,Katie Boulter,Katie,Boulter,60,2,0.61,0.82,0.39,0.49,0.40,0.07,GBR,30,5,6,3,7
ruzic,Antonia Ruzic,Antonia,Ruzic,61,2,0.66,0.88,0.39,0.49,0.36,0.02,CRO,23,5,7,3,7
golub,Viktorija Golubic,Viktorija,Golubic,62,2,0.70,0.92,0.40,0.53,0.37,0.01,SUI,33,8,5,5,5
stear,Peyton Stearns,Peyton,Stearns,63,2,0.64,0.89,0.39,0.50,0.40,0.05,USA,24,6,6,5,5
zhang,Shuai Zhang,Shuai,Zhang,64,2,0.68,0.86,0.34,0.45,0.36,0.04,CHN,37,5,9,4,6
kasat,Daria Kasatkina,Daria,Kasatkina,65,2,0.72,0.77,0.45,0.56,0.38,0.03,AUS,29,11,5,6,4
kalin1,Anhelina Kalinina,Anhelina,Kalinina,66,2,0.68,0.86,0.45,0.54,0.39,0.02,UKR,29,32,9,4,6
yastr,Dayana Yastremska,Dayana,Yastremska,67,2,0.62,0.87,0.39,0.49,0.40,0.03,UKR,26,7,5,4,6
serra,Maria Camila Osorio Serrano,Maria,Camila Osorio Serrano,68,2,0.66,0.78,0.41,0.55,0.41,0.02,COL,24,9,6,5,5
udvar,Panna Udvardy,Panna,Udvardy,69,2,0.56,0.90,0.41,0.47,0.40,0.06,HUN,27,16,12,4,6
rakhi,Kamilla Rakhimova,Kamilla,Rakhimova,70,2,0.58,0.85,0.37,0.52,0.37,0.03,UZB,24,2,5,5,5
ruse,Elena Gabriela Ruse,Elena,Gabriela Ruse,71,2,0.57,0.85,0.39,0.50,0.39,0.08,ROU,28,5,6,5,5
birre,Kimberly Birrell,Kimberly,Birrell,72,2,0.64,0.78,0.38,0.46,0.38,0.03,AUS,28,1,4,4,6
plisk,Karolina Pliskova,Karolina,Pliskova,73,2,0.66,0.76,0.36,0.43,0.43,0.09,CZE,34,10,4,5,5
bonda,Anna Bondar,Anna,Bondar,74,2,0.61,0.94,0.38,0.50,0.40,0.07,HUN,29,17,8,7,3
zaraz,Renata Zarazua,Renata,Zarazua,75,2,0.73,0.90,0.44,0.49,0.37,0.01,MEX,28,7,6,5,5
lys,Eva Lys,Eva,Lys,76,2,0.67,0.82,0.39,0.51,0.37,0.01,GER,24,3,6,2,8
snigu,Daria Snigur,Daria,Snigur,77,2,0.72,0.84,0.43,0.51,0.36,0.02,UKR,24,5,3,7,3
korpa,Tamara Korpatsch,Tamara,Korpatsch,78,2,0.62,0.88,0.45,0.51,0.39,0.02,GER,31,21,9,6,4
towns,Taylor Townsend,Taylor,Townsend,79,2,0.65,0.93,0.38,0.46,0.40,0.06,USA,30,4,3,5,5
jacqu,Elsa Jacquemot,Elsa,Jacquemot,80,2,0.62,0.82,0.41,0.47,0.37,0.06,FRA,23,6,10,2,8
parks,Alycia Parks,Alycia,Parks,81,2,0.53,0.81,0.33,0.45,0.41,0.13,USA,25,10,8,5,5
tagge,Lilli Tagger,Lilli,Tagger,82,2,0.66,0.86,0.40,0.50,0.42,0.04,AUT,18,6,7,7,3
karta,Sonay Kartal,Sonay,Kartal,83,2,0.75,0.90,0.43,0.48,0.38,0.01,GBR,24,0,0,6,4
putin,Yulia Putintseva,Yulia,Putintseva,84,2,0.71,0.91,0.42,0.48,0.38,0.03,KAZ,31,14,8,4,6
zakha,Anastasia Zakharova,Anastasia,Zakharova,85,2,0.69,0.83,0.38,0.49,0.37,0.01,RUS,24,4,7,6,4
wang1,Xiyu Wang,Xiyu,Wang,86,2,0.71,0.88,0.44,0.54,0.40,0.02,CHN,25,18,4,6,4
joint,Maya Joint,Maya,Joint,87,2,0.65,0.88,0.42,0.49,0.39,0.02,AUS,20,1,5,7,3
grach,Varvara Gracheva,Varvara,Gracheva,88,2,0.65,0.90,0.38,0.50,0.38,0.03,FRA,26,0,0,6,4
erjav,Veronika Erjavec,Veronika,Erjavec,89,2,0.66,0.93,0.44,0.49,0.40,0.02,SLO,26,18,12,4,6
