id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
carab,Camilo Ugo Carabelli,Camilo,Ugo Carabelli,59,2,0.65,0.89,0.32,0.35,0.32,0.05,ARG,27,4,10,3,7,1
landa,Martin Landaluce,Martin,Landaluce,60,2,0.56,0.85,0.26,0.39,0.38,0.06,ESP,20,14,14,2,8,1
altma,Daniel Altmaier,Daniel,Altmaier,61,2,0.59,0.90,0.28,0.48,0.35,0.10,GER,27,4,10,5,5,1
cilic,Marin Cilic,Marin,Cilic,62,2,0.57,0.90,0.23,0.47,0.40,0.23,CRO,37,10,10,3,7,0
korda,Sebastian Korda,Sebastian,Korda,63,2,0.61,0.92,0.30,0.46,0.40,0.20,USA,26,16,7,8,2,0
kopri,Vit Kopriva,Vit,Kopriva,64,2,0.61,0.94,0.28,0.42,0.36,0.12,CZE,29,8,10,2,8,1
burru,Roman Andres Burruchaga,Roman,Andres Burruchaga,65,2,0.61,0.86,0.29,0.46,0.36,0.09,ARG,24,2,8,4,6,0
svajd,Zachary Svajda,Zachary,Svajda,66,2,0.59,0.92,0.30,0.46,0.38,0.14,USA,23,19,12,3,7,0
bellu,Mattia Bellucci,Mattia,Bellucci,67,2,0.62,0.89,0.27,0.44,0.41,0.14,ITA,25,15,13,5,5,1
medje,Hamad Medjedovic,Hamad,Medjedovic,68,2,0.64,0.87,0.26,0.43,0.38,0.19,SRB,23,6,7,4,6,0
soneg,Lorenzo Sonego,Lorenzo,Sonego,69,2,0.60,0.89,0.32,0.37,0.38,0.22,ITA,31,5,6,4,6,1
kovac,Aleksandar Kovacevic,Aleksandar,Kovacevic,70,2,0.56,0.86,0.24,0.39,0.46,0.22,USA,28,14,15,5,5,1
carre,Pablo Carreno-Busta,Pablo,Carreno-Busta,71,2,0.65,0.92,0.28,0.48,0.37,0.07,ESP,35,9,10,4,6,0
valle,Adolfo Daniel Vallejo,Adolfo,Daniel Vallejo,72,2,0.55,0.83,0.29,0.50,0.36,0.11,PAR,22,7,5,4,6,1
jong,Jesper De Jong,Jesper,De Jong,73,2,0.59,0.80,0.33,0.41,0.38,0.17,NED,26,4,10,4,6,1
struf,Jan-Lennard Struff,Jan-Lennard,Struff,74,2,0.59,0.90,0.26,0.44,0.38,0.19,GER,36,7,12,5,5,0
royer,Valentin Royer,Valentin,Royer,75,2,0.60,0.88,0.34,0.52,0.39,0.08,FRA,25,9,13,7,3,1
fucso,Marton Fucsovics,Marton,Fucsovics,76,2,0.60,0.89,0.31,0.45,0.39,0.09,HUN,34,6,11,3,7,0
rune,Holger Rune,Holger,Rune,77,2,0.62,0.90,0.29,0.45,0.41,0.14,DEN,23,0,0,7,3,0
cazau,Arthur Cazaux,Arthur,Cazaux,78,2,0.59,0.94,0.30,0.45,0.38,0.19,FRA,24,3,2,5,5,0
duckw,James Duckworth,James,Duckworth,79,2,0.51,0.87,0.31,0.44,0.43,0.13,AUS,34,13,16,5,5,1
