id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
shapo,Denis Shapovalov,Denis,Shapovalov,41,2,0.58,0.81,0.27,0.43,0.39,0.17,CAN,27,1,2,3,7,0
cerun1,Juan Manuel Cerundolo,Juan,Manuel Cerundolo,42,2,0.57,0.88,0.24,0.51,0.35,0.16,ARG,24,2,1,7,3,1
colli,Raphael Collignon,Raphael,Collignon,43,2,0.65,0.83,0.22,0.34,0.36,0.17,BEL,,4,2,6,4,1
clar,Jaume Antoni Munar Clar,Jaume,Antoni Munar Clar,44,2,0.62,0.89,0.30,0.47,0.39,0.16,ESP,29,0,2,4,6,1
majch,Kamil Majchrzak,Kamil,Majchrzak,45,2,0.66,0.95,0.28,0.41,0.41,0.17,POL,30,8,2,7,3,1
miche,Alex Michelsen,Alex,Michelsen,46,2,0.63,0.83,0.29,0.40,0.32,0.13,USA,21,0,0,4,6,1
quinn,Ethan Quinn,Ethan,Quinn,47,2,0.64,0.83,0.27,0.44,0.40,0.20,USA,,5,2,6,4,1
borge,Nuno Borges,Nuno,Borges,48,2,0.69,0.95,0.26,0.40,0.38,0.12,POR,,4,3,5,5,1
macha,Tomas Machac,Tomas,Machac,49,2,0.64,0.92,0.26,0.46,0.38,0.13,CZE,25,0,0,6,4,0
kecma,Miomir Kecmanovic,Miomir,Kecmanovic,50,2,0.66,0.92,0.17,0.39,0.39,0.05,SRB,26,2,2,6,4,1
berre,Matteo Berrettini,Matteo,Berrettini,51,2,0.71,0.90,0.23,0.33,0.39,0.22,ITA,30,0,0,7,3,1
atman,Terence Atmane,Terence,Atmane,52,2,0.65,0.91,0.19,0.33,0.37,0.14,FRA,,1,3,2,8,1
maroz,Fabian Marozsan,Fabian,Marozsan,53,2,0.68,0.91,0.26,0.38,0.36,0.11,HUN,,4,3,5,5,1
zands,Botic Van De Zandschulp,Botic,Van De Zandschulp,54,2,0.61,0.88,0.28,0.43,0.36,0.17,NED,,1,2,4,6,1
tiran,Thiago Agustin Tirante,Thiago,Agustin Tirante,55,2,0.57,0.87,0.25,0.34,0.35,0.16,ARG,,1,1,5,5,1
hanfm,Yannick Hanfmann,Yannick,Hanfmann,56,2,0.63,0.92,0.26,0.41,0.41,0.19,GER,,3,3,4,6,1
baez,Sebastian Baez,Sebastian,Baez,57,2,0.75,0.94,0.15,0.48,0.36,0.04,ARG,,0,0,6,4,1
griek,Tallon Griekspoor,Tallon,Griekspoor,58,2,0.71,0.91,0.20,0.34,0.37,0.22,NED,29,1,2,3,7,1
carab,Camilo Ugo Carabelli,Camilo,Ugo Carabelli,59,2,0.62,0.86,0.28,0.46,0.33,0.15,ARG,,0,0,4,6,0
landa,Martin Landaluce,Martin,Landaluce,60,2,0.62,0.83,0.21,0.38,0.38,0.17,ESP,,3,3,5,5,1
altma,Daniel Altmaier,Daniel,Altmaier,61,2,0.64,0.86,0.27,0.37,0.35,0.22,GER,,4,3,4,6,1
cilic,Marin Cilic,Marin,Cilic,62,2,0.59,0.93,0.25,0.39,0.27,0.10,CRO,37,2,2,4,6,1
korda,Sebastian Korda,Sebastian,Korda,63,2,0.62,0.93,0.25,0.47,0.41,0.17,USA,,0,0,8,2,0
kopri,Vit Kopriva,Vit,Kopriva,64,2,0.57,0.87,0.19,0.49,0.39,0.16,CZE,,2,2,4,6,1
burru,Roman Andres Burruchaga,Roman,Andres Burruchaga,65,2,0.66,0.84,0.26,0.30,0.27,0.07,ARG,,0,1,3,7,1
svajd,Zachary Svajda,Zachary,Svajda,66,2,0.58,0.93,0.30,0.42,0.37,0.14,USA,,2,3,5,5,1
bellu,Mattia Bellucci,Mattia,Bellucci,67,2,0.64,0.91,0.30,0.38,0.43,0.15,ITA,,5,4,5,5,1
medje,Hamad Medjedovic,Hamad,Medjedovic,68,2,0.64,0.83,0.21,0.44,0.35,0.13,SRB,,1,1,5,5,1
soneg,Lorenzo Sonego,Lorenzo,Sonego,69,2,0.73,0.94,0.24,0.38,0.42,0.15,ITA,,2,3,5,5,1
kovac,Aleksandar Kovacevic,Aleksandar,Kovacevic,70,2,0.62,0.87,0.20,0.37,0.34,0.19,USA,,1,4,3,7,1
carre,Pablo Carreno-Busta,Pablo,Carreno-Busta,71,2,0.67,0.93,0.26,0.52,0.36,0.07,ESP,,0,0,7,3,1
valle,Adolfo Daniel Vallejo,Adolfo,Daniel Vallejo,72,2,0.57,0.87,0.30,0.52,0.34,0.05,PAR,,0,1,5,5,1
jong,Jesper De Jong,Jesper,De Jong,73,2,0.58,0.87,0.27,0.40,0.35,0.17,NED,,0,0,7,3,1
struf,Jan-Lennard Struff,Jan-Lennard,Struff,74,2,0.58,0.92,0.23,0.49,0.38,0.26,GER,,2,2,7,3,1
royer,Valentin Royer,Valentin,Royer,75,2,0.61,0.92,0.19,0.46,0.36,0.09,FRA,,0,1,3,7,1
fucso,Marton Fucsovics,Marton,Fucsovics,76,2,0.57,0.87,0.30,0.38,0.37,0.08,HUN,,1,2,3,7,1
rune,Holger Rune,Holger,Rune,77,2,0.61,0.88,0.25,0.38,0.42,0.15,DEN,23,0,0,7,3,0
cazau,Arthur Cazaux,Arthur,Cazaux,78,2,0.61,0.88,0.30,0.42,0.37,0.18,FRA,,0,0,5,5,0
duckw,James Duckworth,James,Duckworth,79,2,0.52,0.93,0.22,0.38,0.45,0.18,AUS,,1,3,3,7,1
assch,Luca Van Assche,Luca,Van Assche,80,2,0.65,0.86,0.28,0.44,0.34,0.08,FRA,,0,0,7,3,0
brook,Jenson Brooksby,Jenson,Brooksby,81,2,0.69,0.94,0.30,0.50,0.37,0.08,USA,,2,3,4,6,1
hijik,Rinky Hijikata,Rinky,Hijikata,82,2,0.60,0.93,0.25,0.45,0.38,0.10,AUS,,7,3,6,4,1
perri,Giovanni Mpetshi Perricard,Giovanni,Mpetshi Perricard,83,2,0.77,0.88,0.14,0.36,0.34,0.26,FRA,,4,2,4,6,1
aguil,Daniel Merida Aguilar,Daniel,Merida Aguilar,84,2,0.62,0.93,0.27,0.47,0.31,0.04,ESP,,0,1,5,5,1
walto,Adam Walton,Adam,Walton,85,2,0.62,0.97,0.32,0.35,0.41,0.12,AUS,,3,2,7,3,1
nava,Emilio Nava,Emilio,Nava,86,2,0.63,0.89,0.25,0.44,0.32,0.13,USA,,0,1,6,4,1
tsits,Stefanos Tsitsipas,Stefanos,Tsitsipas,87,2,0.62,0.94,0.20,0.44,0.37,0.28,GRE,,0,1,3,7,1
diall,Gabriel Diallo,Gabriel,Diallo,88,2,0.70,0.90,0.27,0.34,0.37,0.12,CAN,,2,3,3,7,1
prizm,Dino Prizmic,Dino,Prizmic,89,2,0.62,0.93,0.21,0.41,0.42,0.09,CRO,,0,1,6,4,1
shima,Sho Shimabukuro,Sho,Shimabukuro,90,2,0.54,0.91,0.19,0.40,0.43,0.20,JPN,,7,3,6,4,1
comes,Francisco Comesana,Francisco,Comesana,91,2,0.64,0.83,0.25,0.34,0.40,0.13,ARG,,0,0,6,4,0
giron,Marcos Giron,Marcos,Giron,92,2,0.65,0.93,0.27,0.45,0.36,0.08,USA,,3,5,4,6,1
bonzi,Benjamin Bonzi,Benjamin,Bonzi,93,2,0.69,0.98,0.31,0.45,0.39,0.10,FRA,,4,1,6,4,1
trung,Marco Trungelliti,Marco,Trungelliti,94,2,0.60,0.86,0.22,0.50,0.41,0.11,ARG,,1,2,4,6,1
halys,Quentin Halys,Quentin,Halys,95,2,0.54,0.90,0.27,0.49,0.37,0.19,FRA,,1,3,4,6,1
hurka,Hubert Hurkacz,Hubert,Hurkacz,96,2,0.64,0.92,0.23,0.45,0.36,0.26,POL,29,1,2,5,5,1
spizz,Eliot Spizzirri,Eliot,Spizzirri,97,2,0.70,0.94,0.29,0.44,0.34,0.12,USA,,0,0,6,4,0
faria,Jaime Faria,Jaime,Faria,98,2,0.60,0.83,0.23,0.43,0.44,0.18,POR,,0,0,7,3,1
shevc,Alexander Shevchenko,Alexander,Shevchenko,99,2,0.61,0.91,0.19,0.35,0.33,0.10,KAZ,,0,1,5,5,0
choin,Jan Choinski,Jan,Choinski,100,2,0.64,0.95,0.25,0.46,0.34,0.19,GBR,,4,1,7,3,1
