id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
sabal,Aryna Sabalenka,Aryna,Sabalenka,1,2,0.64,0.91,0.37,0.51,0.44,0.11,BLR,28,23,1,7,3,0
rybak,Elena Rybakina,Elena,Rybakina,2,2,0.59,0.92,0.35,0.49,0.44,0.17,KAZ,27,21,5,5,5,0
swiat,Iga Swiatek,Iga,Swiatek,3,2,0.63,0.88,0.40,0.54,0.43,0.08,POL,25,12,6,6,4,0
pegul,Jessica Pegula,Jessica,Pegula,4,2,0.62,0.92,0.38,0.50,0.42,0.08,USA,32,19,4,7,3,0
andre,Mirra Andreeva,Mirra,Andreeva,5,2,0.63,0.85,0.42,0.50,0.42,0.07,RUS,19,14,6,8,2,0
anisi,Amanda Anisimova,Amanda,Anisimova,6,2,0.64,0.85,0.37,0.50,0.41,0.08,USA,24,11,6,6,4,0
gauff,Cori Gauff,Cori,Gauff,7,2,0.62,0.73,0.41,0.52,0.42,0.07,USA,22,16,6,7,3,0
svito,Elina Svitolina,Elina,Svitolina,8,2,0.58,0.89,0.37,0.49,0.41,0.09,UKR,31,20,5,7,3,0
mucho,Karolina Muchova,Karolina,Muchova,9,2,0.64,0.93,0.37,0.46,0.41,0.08,CZE,29,18,4,9,1,0
mboko,Victoria Mboko,Victoria,Mboko,10,2,0.65,0.80,0.39,0.48,0.43,0.10,CAN,19,19,6,5,5,0
benci,Belinda Bencic,Belinda,Bencic,11,2,0.65,0.87,0.37,0.54,0.42,0.05,SUI,29,13,5,7,3,0
nosko,Linda Noskova,Linda,Noskova,12,2,0.58,0.84,0.34,0.48,0.43,0.14,CZE,21,11,6,9,1,0
kosty,Marta Kostyuk,Marta,Kostyuk,13,2,0.59,0.81,0.38,0.48,0.42,0.08,UKR,24,6,4,8,2,0
osaka,Naomi Osaka,Naomi,Osaka,14,2,0.58,0.92,0.36,0.48,0.42,0.16,JPN,28,5,3,8,2,0
shnai,Diana Shnaider,Diana,Shnaider,15,2,0.65,0.87,0.35,0.49,0.40,0.04,RUS,22,8,7,6,4,0
jovic,Iva Jovic,Iva,Jovic,16,2,0.62,0.92,0.39,0.50,0.40,0.05,USA,18,15,7,7,3,0
paoli,Jasmine Paolini,Jasmine,Paolini,17,2,0.66,0.93,0.37,0.48,0.38,0.03,ITA,30,8,7,6,4,0
cirst,Sorana Cirstea,Sorana,Cirstea,18,2,0.59,0.93,0.37,0.49,0.40,0.11,ROU,36,17,5,7,3,0
alexa,Ekaterina Alexandrova,Ekaterina,Alexandrova,19,2,0.61,0.83,0.36,0.48,0.40,0.11,RUS,31,5,8,5,5,0
kalin,Anna Kalinskaya,Anna,Kalinskaya,20,2,0.65,0.86,0.35,0.49,0.40,0.04,RUS,27,9,7,6,4,0
chwal,Maja Chwalinska,Maja,Chwalinska,21,2,0.71,0.90,0.44,0.50,0.40,0.02,POL,24,10,4,8,2,0
keys,Madison Keys,Madison,Keys,22,2,0.66,0.83,0.37,0.47,0.40,0.09,USA,31,8,5,8,2,0
bouzk,Marie Bouzkova,Marie,Bouzkova,23,2,0.64,0.85,0.39,0.50,0.38,0.05,CZE,27,7,10,8,2,0
ferna,Leylah Annie Fernandez,Leylah,Annie Fernandez,24,2,0.62,0.85,0.34,0.47,0.41,0.06,CAN,23,3,8,3,7,0
tauso,Clara Tauson,Clara,Tauson,25,2,0.60,0.87,0.36,0.47,0.40,0.16,DEN,23,8,8,2,8,0
navar,Emma Navarro,Emma,Navarro,26,2,0.63,0.87,0.36,0.49,0.40,0.04,USA,25,4,9,7,3,0
merte,Elise Mertens,Elise,Mertens,27,2,0.57,0.85,0.37,0.49,0.42,0.13,BEL,30,11,6,6,4,0
potap,Anastasia Potapova,Anastasia,Potapova,28,2,0.56,0.86,0.38,0.46,0.38,0.05,AUT,25,7,8,5,5,0
li,Ann Li,Ann,Li,29,2,0.58,0.93,0.37,0.47,0.38,0.10,USA,26,5,8,5,5,0
bapti,Hailey Baptiste,Hailey,Baptiste,30,2,0.58,0.88,0.36,0.44,0.41,0.10,USA,24,11,8,6,4,0
ostap,Jelena Ostapenko,Jelena,Ostapenko,31,2,0.57,0.83,0.37,0.49,0.38,0.08,LAT,29,9,8,6,4,0
eala,Alexandra Eala,Alexandra,Eala,32,2,0.64,0.87,0.38,0.51,0.39,0.02,PHI,21,14,8,6,4,0
raduc,Emma Raducanu,Emma,Raducanu,33,2,0.66,0.85,0.37,0.49,0.38,0.07,GBR,23,7,7,5,5,0
vekic,Donna Vekic,Donna,Vekic,34,2,0.56,0.83,0.35,0.47,0.39,0.09,CRO,30,7,8,6,4,0
bucsa,Cristina Bucsa,Cristina,Bucsa,35,2,0.65,0.89,0.39,0.49,0.37,0.03,ESP,28,7,7,4,6,0
sinia,Katerina Siniakova,Katerina,Siniakova,36,2,0.64,0.82,0.39,0.48,0.40,0.04,CZE,30,7,7,5,5,0
crist,Jaqueline Cristian,Jaqueline,Cristian,37,2,0.61,0.87,0.35,0.47,0.38,0.07,ROU,28,11,8,4,6,0
krejc,Barbora Krejcikova,Barbora,Krejcikova,38,2,0.60,0.82,0.36,0.47,0.42,0.10,CZE,30,3,3,7,3,0
wang,Xinyu Wang,Xinyu,Wang,39,2,0.69,0.85,0.40,0.53,0.41,0.04,CHN,25,13,1,6,4,0
siege,Laura Siegemund,Laura,Siegemund,40,2,0.73,0.82,0.38,0.47,0.38,0.02,GER,38,3,6,4,6,0
samso,Liudmila Samsonova,Liudmila,Samsonova,41,2,0.55,0.86,0.35,0.45,0.41,0.11,RUS,27,4,8,3,7,0
tjen,Janice Tjen,Janice,Tjen,42,2,0.63,0.89,0.39,0.52,0.43,0.08,INA,24,9,9,3,7,0
sakka,Maria Sakkari,Maria,Sakkari,43,2,0.63,0.90,0.37,0.48,0.38,0.07,GRE,30,9,6,5,5,0
frech,Magdalena Frech,Magdalena,Frech,44,2,0.62,0.92,0.36,0.49,0.37,0.06,POL,28,10,9,3,7,0
bejle,Sara Bejlek,Sara,Bejlek,45,2,0.65,0.86,0.42,0.53,0.40,0.02,CZE,20,10,3,3,7,0
cocci,Elisabetta Cocciaretto,Elisabetta,Cocciaretto,46,2,0.66,0.88,0.38,0.48,0.39,0.04,ITA,25,15,5,4,6,0
marci,Petra Marcinko,Petra,Marcinko,47,2,0.64,0.88,0.40,0.51,0.40,0.05,CRO,20,3,9,6,4,0
bartu,Nikola Bartunkova,Nikola,Bartunkova,48,2,0.54,0.84,0.41,0.50,0.42,0.10,CZE,20,12,6,6,4,0
parry,Diane Parry,Diane,Parry,49,2,0.57,0.89,0.35,0.44,0.40,0.11,FRA,23,9,7,6,4,0
mcnal,Caty McNally,Caty,McNally,50,2,0.71,0.84,0.39,0.47,0.39,0.03,USA,24,8,8,6,4,0
sonme,Zeynep Sonmez,Zeynep,Sonmez,51,2,0.60,0.88,0.39,0.50,0.38,0.02,TUR,24,10,8,7,3,0
manei,Jessica Bouzas Maneiro,Jessica,Bouzas Maneiro,52,2,0.60,0.82,0.39,0.48,0.39,0.05,ESP,23,3,9,5,5,0
oliyn,Oleksandra Oliynykova,Oleksandra,Oliynykova,53,2,0.73,0.89,0.38,0.48,0.36,0.01,UKR,25,3,2,5,5,0
valen,Tereza Valentova,Tereza,Valentova,54,2,0.61,0.87,0.41,0.52,0.40,0.07,CZE,19,9,7,4,6,0
staro,Yuliia Starodubtseva,Yuliia,Starodubtseva,55,2,0.63,0.92,0.39,0.51,0.37,0.03,UKR,26,11,9,4,6,0
sierr,Solana Sierra,Solana,Sierra,56,2,0.61,0.83,0.34,0.44,0.38,0.06,ARG,22,7,11,6,4,0
kessl,Mccartney Kessler,Mccartney,Kessler,57,2,0.62,0.89,0.37,0.49,0.39,0.04,USA,27,7,7,4,6,0
gibso,Talia Gibson,Talia,Gibson,58,2,0.64,0.87,0.38,0.49,0.41,0.10,AUS,22,22,8,3,7,0
linet,Magda Linette,Magda,Linette,59,2,0.61,1.00,0.40,0.46,0.31,0.07,POL,34,12,9,5,5,1
boult,Katie Boulter,Katie,Boulter,60,2,0.57,0.83,0.39,0.47,0.41,0.07,GBR,29,11,5,5,5,0
ruzic,Antonia Ruzic,Antonia,Ruzic,61,2,0.64,0.89,0.38,0.49,0.39,0.05,CRO,23,8,9,5,5,0
golub,Viktorija Golubic,Viktorija,Golubic,62,2,0.71,0.88,0.40,0.51,0.37,0.01,SUI,33,8,10,7,3,0
stear,Peyton Stearns,Peyton,Stearns,63,2,0.62,0.87,0.35,0.48,0.39,0.08,USA,24,11,8,5,5,0
zhang,Shuai Zhang,Shuai,Zhang,64,2,0.67,0.90,0.40,0.51,0.38,0.05,CHN,37,8,8,5,5,0
kasat,Daria Kasatkina,Daria,Kasatkina,65,2,0.67,0.76,0.40,0.54,0.37,0.03,AUS,29,4,5,4,6,0
kalin1,Anhelina Kalinina,Anhelina,Kalinina,66,2,0.65,0.88,0.36,0.48,0.39,0.04,UKR,29,4,4,5,5,0
yastr,Dayana Yastremska,Dayana,Yastremska,67,2,0.57,0.83,0.36,0.46,0.39,0.07,UKR,26,6,9,6,4,0
