id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
queve,Kaitlin Quevedo,Kaitlin,Quevedo,107,2,0.62,0.89,0.46,0.54,0.36,0.05,ESP,20,19,7,7,3,1
uchij,Moyuka Uchijima,Moyuka,Uchijima,108,2,0.56,0.88,0.42,0.47,0.35,0.03,JPN,24,15,11,3,7,1
sheri,Mayar Sherif,Mayar,Sherif,109,2,0.78,0.85,0.49,0.57,0.42,0.02,EGY,30,25,11,9,1,1
kasin,Victoria Jimenez Kasintseva,Victoria,Jimenez Kasintseva,110,2,0.67,0.84,0.41,0.47,0.39,0.02,AND,20,4,9,3,7,0
galfi,Dalma Galfi,Dalma,Galfi,111,2,0.61,0.85,0.36,0.42,0.31,0.05,HUN,27,7,8,3,7,1
sun,Lulu Sun,Lulu,Sun,112,2,0.57,0.89,0.37,0.43,0.40,0.06,NZL,25,2,5,4,6,0
kuder,Polina Kudermetova,Polina,Kudermetova,113,2,0.59,0.85,0.42,0.49,0.39,0.05,UZB,23,19,9,5,5,0
blink,Anna Blinkova,Anna,Blinkova,114,2,0.62,0.88,0.43,0.49,0.41,0.02,RUS,27,8,9,5,5,1
kuder1,Veronika Kudermetova,Veronika,Kudermetova,115,2,0.60,0.91,0.39,0.48,0.39,0.09,RUS,29,0,0,4,6,0
grabh,Julia Grabher,Julia,Grabher,116,2,0.65,0.73,0.34,0.48,0.46,0.03,AUT,30,11,12,5,5,1
prest,Taylah Preston,Taylah,Preston,117,2,0.61,0.84,0.40,0.52,0.38,0.01,AUS,20,1,2,4,6,0
chara,Alina Charaeva,Alina,Charaeva,118,2,0.50,0.81,0.44,0.56,0.46,0.06,ARM,24,15,10,6,4,1
kawa,Katarzyna Kawa,Katarzyna,Kawa,119,2,0.59,0.85,0.48,0.52,0.37,0.04,POL,33,20,10,8,2,1
